Source,Type,Target,Weight
Второй говорящий из народа,Undirected,Первый говорящий из народа,1
Второй говорящий из народа,Undirected,Прохожий,1
Второй говорящий из народа,Undirected,Третий говорящий из народа,1
Второй говорящий из народа,Undirected,Фекла Федосьвена,1
Второй говорящий из народа,Undirected, Народ,1
Второй тунгус,Undirected,Неизвестный,1
Второй тунгус,Undirected,Первый тунгус,2
Добров,Undirected,Леонид,1
Добров,Undirected,Народ,1
Добров,Undirected,Параша,1
Добров,Undirected,Прохожий,1
Жена,Undirected,Исправник,1
Жена,Undirected,Леонид,1
Жена,Undirected,Неизвестный,6
Жена,Undirected,Параша,5
Жена,Undirected,Прохожий,1
Исправник,Undirected,Леонид,1
Исправник,Undirected,Неизвестный,1
Исправник,Undirected,Параша,1
Леонид,Undirected,Народ,1
Леонид,Undirected,Неизвестный,1
Леонид,Undirected,Параша,2
Леонид,Undirected,Прохожий,1
Маша,Undirected,Митя ,1
Маша,Undirected,Соня ,1
Маша,Undirected,Танюша,1
Маша,Undirected,Федя ,1
Маша,Undirected,Фекла Федосьвена,1
Митя ,Undirected,Соня ,1
Митя ,Undirected,Танюша,1
Митя ,Undirected,Федя ,1
Митя ,Undirected,Фекла Федосьвена,1
Народ,Undirected,Один из народа,1
Народ,Undirected,Параша,3
Народ,Undirected,Прохожий,1
Народ,Undirected,Старушка,1
Народ,Undirected,Федор Григорьевич Писулькин,1
Народ,Undirected,Фекла Федосьвена,1
Неизвестный,Undirected,Параша,5
Неизвестный,Undirected,Первый тунгус,1
Неизвестный,Undirected,Прохожий,2
Один из народа,Undirected,Параша,1
Один из народа,Undirected,Федор Григорьевич Писулькин,1
Один из народа,Undirected,Фекла Федосьвена,1
Параша,Undirected,Прохожий,5
Параша,Undirected,Старушка,1
Параша,Undirected,Танюша,1
Параша,Undirected,Федор Григорьевич Писулькин,2
Параша,Undirected,Фекла Федосьвена,2
Первый говорящий из народа,Undirected,Прохожий,1
Первый говорящий из народа,Undirected,Третий говорящий из народа,1
Первый говорящий из народа,Undirected,Фекла Федосьвена,1
Первый говорящий из народа,Undirected, Народ,1
Прохожий,Undirected,Танюша,1
Прохожий,Undirected,Третий говорящий из народа,1
Прохожий,Undirected,Фекла Федосьвена,1
Прохожий,Undirected, Народ,1
Соня ,Undirected,Танюша,1
Соня ,Undirected,Федя ,1
Соня ,Undirected,Фекла Федосьвена,1
Танюша,Undirected,Федя ,1
Танюша,Undirected,Фекла Федосьвена,3
Третий говорящий из народа,Undirected,Фекла Федосьвена,1
Третий говорящий из народа,Undirected, Народ,1
Федор Григорьевич Писулькин,Undirected,Фекла Федосьвена,4
Федя ,Undirected,Фекла Федосьвена,1
Фекла Федосьвена,Undirected, Народ,1
